date,position,song,artist,popularity,duration_ms,album_type,genre_list,release_date,is_explicit,album_cover_url,uri
2024-09-01,1,"thank u, next",Ariana Grande,19,207333,single,pop,2018-11-03,True,https://i.scdn.co/image/ab67616d0000b273ffa275ba245edba4c1c720af,spotify:track:2rPE9A1vEgShuZxxzR2tZH
2024-09-01,2,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,49,237000,single,mandopop,2018-10-12,False,https://i.scdn.co/image/ab67616d0000b2731b46391987752b422d037148,spotify:track:3ayrHkyorPEpeOBvZ76SwG
2024-09-01,3,Shallow,Lady Gaga & Bradley Cooper,83,215733,album,art pop & dance pop & hollywood & pop,2018-10-05,False,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342,spotify:track:2VxeLyX666F8uXCJ0dZF8B
2024-09-01,4,浪流連,EggPlantEgg,0,253383,single,mandopop & taiwan indie & taiwanese indie,2018-09-17,False,https://i.scdn.co/image/ab67616d0000b273d8954f4cc8b3a77b0d415e49,spotify:track:2GJ9TC1R5yzZ2gYPKGPGyp
2024-09-01,5,Without Me,Halsey,70,201660,single,electropop & etherpop & indie poptimism & pop,2018-10-04,True,https://i.scdn.co/image/ab67616d0000b273c42acc1b86597285c2c79559,spotify:track:5p7ujcrUXASCNwRaWNHR1C
2024-09-01,6,年少有為,Ronghao Li,63,279146,album,chinese singer-songwriter & mainland chinese pop & mandopop,2018-10-17,False,https://i.scdn.co/image/ab67616d0000b2734ed5351deda71982d6f1ab4d,spotify:track:6XY80Ofqd8j0SGiEdRLwCp
2024-09-01,7,浪子回頭,EggPlantEgg,0,259373,album,mandopop & taiwan indie & taiwanese indie,2017-11-04,False,https://i.scdn.co/image/ab67616d0000b273daed6c0b92b0b95f308ba2b7,spotify:track:7J6wLr8qRqLPMeOZlR54NM
2024-09-01,8,倒數,G.E.M.,55,229333,single,mandopop,2018-08-10,False,https://i.scdn.co/image/ab67616d0000b273fb25f74dab29a765cf6f2790,spotify:track:2HmM5p02Q2qrYZvXJRLVx3
2024-09-01,9,SOLO,JENNIE,69,169566,single,k-pop,2018-11-12,False,https://i.scdn.co/image/ab67616d0000b27362e6288a5887b95176cca29e,spotify:track:2wVDWtLKXunswWecARNILj
2024-09-01,10,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding & Diplo & Swae Lee,58,182623,single,dance pop & edm & electro house & indietronica & melodic rap & metropopolis & moombahton & pop & pop dance & rap & trap & uk pop,2018-10-24,True,https://i.scdn.co/image/ab67616d0000b273dd640dbca55836e23894212a,spotify:track:5JEx7HbmvHQQswJCsoo9rA
2024-09-01,11,體面(電影《前任3:再見前任》插曲),Kelly Yu,0,282770,single,mainland chinese pop & mandopop,2017-12-25,False,https://i.scdn.co/image/ab67616d0000b2733c8d158effaa318e202d7d69,spotify:track:7cE5ehlKJ3L9Ejhzm3udcF
2024-09-01,12,Always Remember Us This Way,Lady Gaga,82,210200,album,art pop & dance pop & pop,2018-10-05,False,https://i.scdn.co/image/ab67616d0000b273b5d4b4ed17ec86c4b3944af2,spotify:track:2rbDhOo9Fh61Bbu23T2qCk
2024-09-01,13,慢慢喜歡你,Karen Mok,0,221447,album,mandopop,2018-05-31,False,https://i.scdn.co/image/ab67616d0000b2737ddd39ab53fa915684789810,spotify:track:7EoyERNueJuFlQbyrRB0US
2024-09-01,14,Bad Liar,Imagine Dragons,79,260773,album,modern rock & pop & rock,2018-11-09,False,https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd,spotify:track:2RSHsoi04658QL5xgQVov3
2024-09-01,15,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone & Swae Lee,7,158053,single,dfw rap & melodic rap & pop & rap & trap,2018-10-18,False,https://i.scdn.co/image/ab67616d0000b273ef376d3257503f734de0eefc,spotify:track:1A6OTy97kk0mMdm78rHsm8
2024-09-01,16,Ruin My Life,Zara Larsson,61,190931,single,pop & scandipop & swedish electropop & swedish pop,2018-10-18,True,https://i.scdn.co/image/ab67616d0000b273ceedff6a709d5a9f6c86a0bc,spotify:track:5tAa8Uaqr4VvA3693mbIhU
2024-09-01,17,我還年輕 我還年輕,老王樂隊,6,347058,single,mandopop & taiwan indie & taiwan pop,2017-09-28,False,https://i.scdn.co/image/ab67616d0000b273afbde701bdafb39fb8413c63,spotify:track:5o48kuQnPwhuRAzO2t0bCU
2024-09-01,18,come out and play,Billie Eilish,67,210375,single,art pop & pop,2018-11-20,False,https://i.scdn.co/image/ab67616d0000b27348a98a5a97b2cc7963016888,spotify:track:7wC5eZcFS1Q1BsQ35DU6H4
2024-09-01,19,YES or YES,TWICE,56,237685,album,k-pop & k-pop girl group & pop,2018-11-05,False,https://i.scdn.co/image/ab67616d0000b2738c3678043fa99294678eebae,spotify:track:184XtKkzoAl83quIarUAJP
