date,position,song,artist,popularity,duration_ms,album_type,genre_list,release_date,is_explicit,album_cover_url,uri
2024-09-01,1,Who,Jimin,94,170887,album,k-pop,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU
2024-09-01,2,Be Mine,Jimin,82,207347,album,k-pop,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,spotify:track:3LWVXp636uLT356Rj08Jaz
2024-09-01,3,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,85,183550,album,k-pop & trap queen,2023-11-03,True,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,spotify:track:2HRgqmZQC0MC7GeNuDIXHN
2024-09-01,4,Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,78,182840,album,k-pop & k-rap & korean r&b,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,spotify:track:1agDCV4zQqaFwJQNsTgmL1
2024-09-01,5,Closer Than This,Jimin,77,223301,album,k-pop,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,spotify:track:6qafqn8bBMy7t5c5WqpyRk
2024-09-01,6,Slow Dance (feat. Sofia Carson),Jimin & Sofia Carson,78,188399,album,k-pop & pop,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,spotify:track:3d2bsbugow8JiNvuaRupFH
2024-09-01,7,Rebirth (Intro),Jimin,77,144624,album,k-pop,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,spotify:track:7gMfVc4zfNIxuMyMGglOHa
2024-09-01,8,CRAZY,LE SSERAFIM,0,164554,single,k-pop girl group,2024-08-30,False,https://i.scdn.co/image/ab67616d0000b273485623bc41b6760fc1bca2f4,spotify:track:3AoEQRuFf8zVXWqSLo2UOi
2024-09-01,9,Interlude : Showtime,Jimin,76,78492,album,k-pop,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,spotify:track:45zLrK0668WQ5JFMyiYmCS
2024-09-01,10,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,78,201812,album,deep underground hip hop & hip hop & k-pop & kentucky hip hop & pop rap & rap,2023-10-02,True,https://i.scdn.co/image/ab67616d0000b27399583bb32b47e87d55c6064b,spotify:track:01qFKNWq73UfEslI0GvumE
2024-09-01,11,Standing Next to You,Jung Kook,90,206019,album,k-pop,2023-11-03,False,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,spotify:track:2KslE17cAJNHTsI2MI0jb2
2024-09-01,12,Supernatural,NewJeans,82,191000,single,k-pop & k-pop girl group,2024-06-21,False,https://i.scdn.co/image/ab67616d0000b2737e1eeb0d7cc374a168369c80,spotify:track:5ocSQW5sIUIOFojwXEz9Ki
2024-09-01,13,Supersonic,fromis_9,71,174146,single,k-pop & k-pop girl group,2024-08-12,False,https://i.scdn.co/image/ab67616d0000b2730490e8ab48790ca6e5add267,spotify:track:6oNLSQX8bcAdbCElZYju3v
2024-09-01,14,Sticky,KISS OF LIFE,82,157120,single,5th gen k-pop & k-pop girl group,2024-07-01,False,https://i.scdn.co/image/ab67616d0000b2734cd7f69b85766b3d3035c27c,spotify:track:4e1aewX6ATPcdfQIqr7gqO
2024-09-01,15,Die With A Smile,Lady Gaga & Bruno Mars,94,251667,single,art pop & dance pop & pop,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,spotify:track:2plbrEY59IikOBgBGLjaoe
2024-09-01,16,How Sweet,NewJeans,82,219026,single,k-pop & k-pop girl group,2024-05-24,False,https://i.scdn.co/image/ab67616d0000b273b657fbb27b17e7bd4691c2b2,spotify:track:38tXZcL1gZRfbqfOG0VMTH
2024-09-01,17,Magnetic,ILLIT,87,160688,single,5th gen k-pop,2024-03-25,False,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c,spotify:track:1aKvZDoLGkNMxoRYgkckZG
2024-09-01,18,Supernova,aespa,64,178880,album,k-pop girl group,2024-05-27,False,https://i.scdn.co/image/ab67616d0000b2731a956dd1b4e37445ce947f0c,spotify:track:2JhbSmNAyM9kYiqwa8Tpla
2024-09-01,19,Warmth,Lim Young Woong,65,235053,single,trot,2024-05-06,False,https://i.scdn.co/image/ab67616d0000b273744791c0e707946a832baa13,spotify:track:3vnaEaDxMKdBhqA1t0uAwl
2024-09-01,20,Home,Lim Young Woong,65,235333,single,trot,2024-05-06,False,https://i.scdn.co/image/ab67616d0000b273744791c0e707946a832baa13,spotify:track:2PlsVMcOn6ujc2UEYs2Yat
2024-09-01,21,Pierrot,LE SSERAFIM,0,170315,single,k-pop girl group,2024-08-30,False,https://i.scdn.co/image/ab67616d0000b273485623bc41b6760fc1bca2f4,spotify:track:411fZBnpfU4eIDIZmDKswx
2024-09-01,22,Armageddon,aespa,63,196466,album,k-pop girl group,2024-05-27,False,https://i.scdn.co/image/ab67616d0000b2731a956dd1b4e37445ce947f0c,spotify:track:6lAvyeD3Nq43AjyCxZQj54
2024-09-01,23,Do or Die,Lim Young Woong,62,205440,single,trot,2023-10-09,False,https://i.scdn.co/image/ab67616d0000b273831b4a8eb3bd16788dca633a,spotify:track:21ewxM3YvcdTj7cC0XwznO
2024-09-01,24,별별별 (See that?),NMIXX,56,182795,single,k-pop & k-pop girl group,2024-08-19,False,https://i.scdn.co/image/ab67616d0000b273853ba315cb0ba20b4ae995c6,spotify:track:2Oc0j4x7HkDRVZq8JsgACT
2024-09-01,25,Grain of Sand,Lim Young Woong,61,220309,single,trot,2023-06-05,False,https://i.scdn.co/image/ab67616d0000b273111a6e9b713b646443c5c222,spotify:track:4WUpMUjdoi47LY7gBQBXe3
2024-09-01,26,1-800-hot-n-fun,LE SSERAFIM,0,173431,single,k-pop girl group,2024-08-30,False,https://i.scdn.co/image/ab67616d0000b273485623bc41b6760fc1bca2f4,spotify:track:7vjfnsnDXZGK4PSq54ISjc
2024-09-01,27,London Boy,Lim Young Woong,60,244500,single,trot,2022-11-15,False,https://i.scdn.co/image/ab67616d0000b2732d2009b6cad53ddacad11334,spotify:track:6auT8cRBu3BgPRBrdVBY15
2024-09-01,28,BIRDS OF A FEATHER,Billie Eilish,100,210373,album,art pop & pop,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,spotify:track:6dOtVTDdiauQNBQEDOtlAB
2024-09-01,29,New Woman (feat. ROSALÍA),LISA & ROSALÍA,91,179789,single,k-pop & latin viral pop & pop & r&b en espanol,2024-08-15,False,https://i.scdn.co/image/ab67616d0000b2737c451a4f06288da6edf050c1,spotify:track:7ov3TDp5D00Rnu5R1viX4w
2024-09-01,30,Runaway,Kanye West & Pusha T,81,547733,album,chicago rap & gangster rap & hip hop & pop rap & rap & southern hip hop & trap & virginia hip hop,2010-11-22,True,https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f,spotify:track:3DK6m7It6Pw857FcQftMds
2024-09-01,31,Pump Up The Volume!,PLAVE,64,179386,single,5th gen k-pop,2024-08-20,False,https://i.scdn.co/image/ab67616d0000b2730521b4efcb4432ca54cf2baa,spotify:track:34DtDWmIUacoop6Md298vE
2024-09-01,32,Espresso,Sabrina Carpenter,98,175459,single,pop,2024-04-12,True,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,spotify:track:2qSkIjg1o9h3YT9RAgYN75
2024-09-01,33,Taste,Sabrina Carpenter,90,157279,album,pop,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:5G2f63n7IPVPPjfNIGih7Q
2024-09-01,34,Never Let Go,Jung Kook,84,166812,single,k-pop,2024-06-07,False,https://i.scdn.co/image/ab67616d0000b273083f5a45d93b57cb65a97b83,spotify:track:2nRMW95dnOILirpjbksLTs
