date,position,song,artist,popularity,duration_ms,album_type,genre_list,release_date,is_explicit,album_cover_url,uri
2024-09-01,1,Taste,Sabrina Carpenter,90,157279,album,pop,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:5G2f63n7IPVPPjfNIGih7Q
2024-09-01,2,Please Please Please,Sabrina Carpenter,97,186365,single,pop,2024-06-06,True,https://i.scdn.co/image/ab67616d0000b273de84adf0e48248ea2d769c3e,spotify:track:5N3hjp1WNayUPZrA8kJmJP
2024-09-01,3,Die With A Smile,Lady Gaga & Bruno Mars,94,251667,single,art pop & dance pop & pop,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,spotify:track:2plbrEY59IikOBgBGLjaoe
2024-09-01,4,Espresso,Sabrina Carpenter,98,175459,single,pop,2024-04-12,True,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,spotify:track:2qSkIjg1o9h3YT9RAgYN75
2024-09-01,5,"Good Luck, Babe!",Chappell Roan,97,218423,single,indie pop & pov: indie,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,spotify:track:0WbMK4wrZ1wFSty9F7FCgu
2024-09-01,6,Who,Jimin,94,170887,album,k-pop,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU
2024-09-01,7,BIRDS OF A FEATHER,Billie Eilish,100,210373,album,art pop & pop,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,spotify:track:6dOtVTDdiauQNBQEDOtlAB
2024-09-01,8,Bed Chem,Sabrina Carpenter,85,171869,album,pop,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF
2024-09-01,9,Good Graces,Sabrina Carpenter,86,185265,album,pop,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:102YUQbYmwdBXS7jwamI90
2024-09-01,10,I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,83,178205,album,contemporary country & dfw rap & melodic rap & pop & rap,2024-08-15,True,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0,spotify:track:5IZXB5IKAD2qlvTPJYDCFB
2024-09-01,11,A Bar Song (Tipsy),Shaboozey,88,171291,album,modern country pop & pop rap,2024-05-31,True,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K
2024-09-01,12,HOT TO GO!,Chappell Roan,91,184841,album,indie pop & pov: indie,2023-09-22,False,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,spotify:track:4xdBrk0nFZaP54vvZj0yx7
2024-09-01,13,Not Like Us,Kendrick Lamar,95,274192,single,conscious hip hop & hip hop & rap & west coast rap,2024-05-04,True,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad,spotify:track:6AI3ezQ4o3HUoP6Dhudph3
2024-09-01,14,Juno,Sabrina Carpenter,84,223192,album,pop,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:21B4gaTWnTkuSh77iWEXdS
2024-09-01,15,Sharpest Tool,Sabrina Carpenter,84,218284,album,pop,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:3iPIDAFybaoyqX7hvAfWkl
2024-09-01,16,MILLION DOLLAR BABY,Tommy Richman,94,155151,single,chill abstract hip hop,2024-04-26,False,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f,spotify:track:5AJ9hqTS2wcFQCELCFRO7A
2024-09-01,17,Pink Pony Club,Chappell Roan,88,258034,album,indie pop & pov: indie,2023-09-22,False,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,spotify:track:1k2pQc5i348DCHwbn5KTdc
2024-09-01,18,Coincidence,Sabrina Carpenter,83,164202,album,pop,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:5oIVNm56t6OIf9ZjdEG3ud
2024-09-01,19,Slim Pickins,Sabrina Carpenter,83,152195,album,pop,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:0XkZmBCCcdMY0EPY8ij6Gb
2024-09-01,20,Big Dawgs,Hanumankind & Kalmi,92,190666,single,desi hip hop & indian underground rap & malayalam hip hop,2024-07-09,True,https://i.scdn.co/image/ab67616d0000b273d9afe5c70c43cb2bd34605ea,spotify:track:0OA00aPt3BV10qeMIs3meW
2024-09-01,21,Pink Skies,Zach Bryan,88,194920,single,classic oklahoma country,2024-05-24,False,https://i.scdn.co/image/ab67616d0000b2731a2c9ac2d39bc5c2e22b9555,spotify:track:4ZJ4vzLQekI0WntDbanNC7
2024-09-01,22,Lose Control,Teddy Swims,91,210688,album,,2023-09-15,False,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,spotify:track:17phhZDn6oGtzMe56NuWvj
2024-09-01,23,Too Sweet,Hozier,83,251424,album,irish singer-songwriter & modern rock & pop & pov: indie,2024-03-22,False,https://i.scdn.co/image/ab67616d0000b2732e8b4358d044b75807e30bf0,spotify:track:0AjmK0Eai4zGrLaJwPvrDp
2024-09-01,24,I Remember Everything (feat. Kacey Musgraves),Zach Bryan & Kacey Musgraves,89,227195,album,classic oklahoma country & classic texas country & contemporary country & country dawn,2023-08-25,False,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef,spotify:track:4KULAymBBJcPRpk1yO4dOG
2024-09-01,25,Beautiful Things,Benson Boone,91,180304,album,singer-songwriter pop,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,spotify:track:3xkHsmpQCBMytMJNiDf3Ii
2024-09-01,26,Red Wine Supernova,Chappell Roan,88,192720,album,indie pop & pov: indie,2023-09-22,True,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,spotify:track:7FOgcfdz9Nx5V9lCNXdBYv
2024-09-01,27,Stick Season,Noah Kahan,90,182346,album,pov: indie,2022-10-14,False,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918,spotify:track:0mflMxspEfB0VbI1kyLiAv
2024-09-01,28,Don’t Smile,Sabrina Carpenter,82,206295,album,pop,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:09LrGvT9KsACH66RHYMDyR
2024-09-01,29,Something in the Orange,Zach Bryan,87,228013,single,classic oklahoma country,2022-04-22,False,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,spotify:track:3WMj8moIAXJhHsyLaqIIHI
2024-09-01,30,Cowgirls (feat. ERNEST),Morgan Wallen & ERNEST,86,181621,album,contemporary country & modern country pop,2023-03-03,False,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,spotify:track:7fveJ3pk1eSfxBdVkzdXZ0
2024-09-01,31,NIGHTS LIKE THIS,The Kid LAROI,89,86983,album,australian hip hop,2023-11-10,False,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2,spotify:track:1XBYiRV30ykHw5f4wm6qEn
2024-09-01,32,Dumb & Poetic,Sabrina Carpenter,82,133478,album,pop,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:5VhvD0AKRprEaFtPNKGBQR
2024-09-01,33,Guess featuring Billie Eilish,Charli xcx & Billie Eilish,92,143330,single,art pop & candy pop & metropopolis & pop & uk pop,2024-08-01,False,https://i.scdn.co/image/ab67616d0000b2738b8d8be49f9c4a44b0574144,spotify:track:3WOhcATHxK2SLNeP5W3v1v
2024-09-01,34,Lies Lies Lies,Morgan Wallen,87,198068,single,contemporary country,2024-07-05,False,https://i.scdn.co/image/ab67616d0000b27337eedb840f9441959db3107e,spotify:track:7Fzl7QaTu47WyP9R5S5mh5
2024-09-01,35,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,85,210950,single,contemporary country & country,2024-05-16,False,https://i.scdn.co/image/ab67616d0000b27339808230102049beb62fdd7b,spotify:track:6GG4yyk3UATdBfTHVgI8PB
2024-09-01,36,"I Love You, I'm Sorry",Gracie Abrams,87,157146,album,alt z,2024-06-21,True,https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b,spotify:track:51rfRCiUSvxXlCSCfIztBy
2024-09-01,37,Sailor Song,Gigi Perez,85,211978,single,bedroom pop,2024-07-26,False,https://i.scdn.co/image/ab67616d0000b2730f588c6bdb28000656d084bf,spotify:track:0UYnhUfnUj5adChuAXvLUB
2024-09-01,38,Apple,Charli xcx,90,151739,album,art pop & candy pop & metropopolis & pop & uk pop,2024-06-07,False,https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e,spotify:track:19RybK6XDbAVpcdxSbZL1o
2024-09-01,39,Austin (Boots Stop Workin'),Dasha,91,171782,album,,2024-02-16,True,https://i.scdn.co/image/ab67616d0000b2734ccf88b66e04cfd247f287eb,spotify:track:2uqYupMHANxnwgeiXTZXzd
2024-09-01,40,Lie To Girls,Sabrina Carpenter,81,202001,album,pop,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,spotify:track:5il0jwWUlvgtIzWvzJi12z
2024-09-01,41,WILDFLOWER,Billie Eilish,90,261466,album,art pop & pop,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,spotify:track:3QaPy1KgI7nu9FJEQUgn6h
2024-09-01,42,Slow It Down,Benson Boone,89,161831,album,singer-songwriter pop,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,spotify:track:51eSHglvG1RJXtL3qI5trr
2024-09-01,43,28,Zach Bryan,86,233333,album,classic oklahoma country,2024-07-04,False,https://i.scdn.co/image/ab67616d0000b273647ad18a07e9e939e399e5a1,spotify:track:5iJKGpnFfvbjZJeAtwXfCj
2024-09-01,44,Casual,Chappell Roan,87,232796,album,indie pop & pov: indie,2023-09-22,True,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,spotify:track:3WSOUb3U7tqURbBSgZTrZX
2024-09-01,45,Heading South,Zach Bryan,85,171692,single,classic oklahoma country,2019-09-30,True,https://i.scdn.co/image/ab67616d0000b273f9017bcd001d030d46850226,spotify:track:2Dct3GykKZ58hpWRFfe2Qd
2024-09-01,46,Last Night,Morgan Wallen,83,163854,album,contemporary country,2023-03-03,True,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,spotify:track:7K3BhSpAxZBznislvUMVtn
2024-09-01,47,Like That,Future & Metro Boomin & Kendrick Lamar,88,267706,album,atl hip hop & conscious hip hop & hip hop & rap & southern hip hop & trap & west coast rap,2024-03-22,True,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8,spotify:track:2tudvzsrR56uom6smgOcSf
2024-09-01,48,See You Again (feat. Kali Uchis),"Tyler, The Creator & Kali Uchis",89,180386,album,colombian pop & hip hop & rap,2017-07-21,True,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,spotify:track:7KA4W4McWYRpgf0fWsJZWB
2024-09-01,49,one of wun,Gunna,85,144000,album,atl hip hop & melodic rap & rap & trap,2024-05-10,True,https://i.scdn.co/image/ab67616d0000b273c67636f3021f5869095c0fc5,spotify:track:4Na2HfNSr58chvfX69fy36
2024-09-01,50,Si Antes Te Hubiera Conocido,KAROL G,96,195824,single,reggaeton & reggaeton colombiano & trap latino & urbano latino,2024-06-21,False,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,spotify:track:6WatFBLVB0x077xWeoVc2k
