date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,genre_list
2024-08-30,1,Patrai,NATTAN & Zé Felipe & O REI DA BATIDINHA,80,113448,single,1,2024-07-21,True,https://i.scdn.co/image/ab67616d0000b273a7600c0d1d475e3069295503,agronejo & arrocha & arrochadeira & forro & sertanejo & sertanejo universitario
2024-08-30,2,Xonei,Jorge & Mateus & Henrique & Juliano,79,154555,single,1,2024-08-15,False,https://i.scdn.co/image/ab67616d0000b27327416a44890cfd0d03889d5b,agronejo & arrocha & musica tocantinense & sertanejo & sertanejo universitario
2024-08-30,3,Saveiro,Kaique e Felipe & Luan Pereira,82,144665,single,1,2024-07-25,False,https://i.scdn.co/image/ab67616d0000b2738918fa0c3cf355061519f67c,agronejo & sertanejo pop
2024-08-30,4,Só Fé,Grelo,83,203337,album,13,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b27341b247657afb83a4bbea0edc,[]
2024-08-30,5,Diferentona,Ícaro e Gilmar & Luan Pereira,83,178290,single,1,2024-07-04,False,https://i.scdn.co/image/ab67616d0000b273b40e581141a9e1c43ee08b6f,agronejo
2024-08-30,6,Wi-Fi - Ao Vivo,Traia Véia & Luan Pereira,82,161312,single,1,2024-07-18,False,https://i.scdn.co/image/ab67616d0000b2737793aab53413a2d1c45179b3,agronejo
2024-08-30,7,THE BOX MEDLEY FUNK 2,THE BOX & Mc Brinquedo & MC Cebezinho & MC Tuto & Mc Laranjinha,83,266666,single,1,2024-04-18,False,https://i.scdn.co/image/ab67616d0000b2732d1affc39c1329a4e3138424,funk bh & funk carioca & funk consciente & funk mtg & funk paulista & trap brasileiro
2024-08-30,8,"Louco, Louco - Ao Vivo",Mari Fernandez & Zé Felipe,80,143060,album,9,2024-07-18,False,https://i.scdn.co/image/ab67616d0000b273f894008a0c65675501ddbf72,agronejo & arrocha & arrochadeira & forro & sertanejo & sertanejo universitario
2024-08-30,9,De Graça ou Pagando,Grelo,79,196702,album,13,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b27341b247657afb83a4bbea0edc,[]
2024-08-30,10,Triplex - Ao Vivo,Matheus Fernandes & Matheus & Kauan,83,178170,single,1,2024-05-22,False,https://i.scdn.co/image/ab67616d0000b2739258fcfe29888e1371f3f812,agronejo & arrocha & forro & pop nacional & sertanejo & sertanejo universitario
2024-08-30,11,Aproveita - Ao Vivo,Clayton & Romário,84,147860,single,6,2024-05-31,False,https://i.scdn.co/image/ab67616d0000b2737f25bafb58ccc4f3f446a471,agronejo & arrocha & sertanejo & sertanejo pop & sertanejo universitario
2024-08-30,12,Mtg Forró e Desmantelo,dj sv & Doug Hits & Manim Vaqueiro,82,149538,single,1,2024-03-20,True,https://i.scdn.co/image/ab67616d0000b2730556e981e6995a54bca3f37a,forro & funk mtg & funk viral & piseiro
2024-08-30,13,Morar Nesse Motel,Gusttavo Lima,66,187037,album,9,2024-08-14,False,https://i.scdn.co/image/ab67616d0000b273f35a936a6d4da331e1fcca4a,agronejo & arrocha & sertanejo & sertanejo universitario
2024-08-30,14,Sagrado Profano,Luísa Sonza & KayBlack,78,196601,album,24,2024-05-28,False,https://i.scdn.co/image/ab67616d0000b273c0b2e3d15b417e3195f493d2,funk carioca & pop nacional & trap brasileiro & trap funk
2024-08-30,15,Me Caiu Tão Bem - Ao Vivo,Murilo Huff & Gustavo Mioto,82,156146,album,11,2024-06-06,False,https://i.scdn.co/image/ab67616d0000b273c61b4691d0ba09631399ffd3,arrocha & sertanejo & sertanejo universitario
2024-08-30,16,MTG QUEM NÃO QUER SOU EU,DJ TOPO & Seu Jorge & Mc Leozin & MC G15,80,123692,single,1,2024-05-10,False,https://i.scdn.co/image/ab67616d0000b27374c88eef75a627b95d41fb62,deboxe & funk bh & funk carioca & funk mtg & funk ostentacao & funk paulista & mpb & rave funk & samba-rock
