date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,genre_list
2024-08-30,1,"thank u, next",Ariana Grande,19,207333,single,1,2018-11-03,True,https://i.scdn.co/image/ab67616d0000b273ffa275ba245edba4c1c720af,pop
2024-08-30,2,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,49,237000,single,1,2018-10-12,False,https://i.scdn.co/image/ab67616d0000b2731b46391987752b422d037148,mandopop
2024-08-30,3,Shallow,Lady Gaga & Bradley Cooper,83,215733,album,34,2018-10-05,False,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342,art pop & dance pop & hollywood & pop
2024-08-30,4,浪流連,EggPlantEgg,0,253383,single,1,2018-09-17,False,https://i.scdn.co/image/ab67616d0000b273d8954f4cc8b3a77b0d415e49,mandopop & taiwan indie & taiwanese indie
2024-08-30,5,Without Me,Halsey,70,201660,single,1,2018-10-04,True,https://i.scdn.co/image/ab67616d0000b273c42acc1b86597285c2c79559,electropop & etherpop & indie poptimism & pop
2024-08-30,6,年少有為,Ronghao Li,63,279146,album,10,2018-10-17,False,https://i.scdn.co/image/ab67616d0000b2734ed5351deda71982d6f1ab4d,chinese singer-songwriter & mainland chinese pop & mandopop
2024-08-30,7,浪子回頭,EggPlantEgg,0,259373,album,10,2017-11-04,False,https://i.scdn.co/image/ab67616d0000b273daed6c0b92b0b95f308ba2b7,mandopop & taiwan indie & taiwanese indie
2024-08-30,8,倒數,G.E.M.,55,229333,single,1,2018-08-10,False,https://i.scdn.co/image/ab67616d0000b273fb25f74dab29a765cf6f2790,mandopop
2024-08-30,9,SOLO,JENNIE,69,169566,single,1,2018-11-12,False,https://i.scdn.co/image/ab67616d0000b27362e6288a5887b95176cca29e,k-pop
2024-08-30,10,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding & Diplo & Swae Lee,58,182623,single,1,2018-10-24,True,https://i.scdn.co/image/ab67616d0000b273dd640dbca55836e23894212a,dance pop & edm & electro house & indietronica & melodic rap & metropopolis & moombahton & pop & pop dance & rap & trap & uk pop
2024-08-30,11,體面(電影《前任3:再見前任》插曲),Kelly Yu,0,282770,single,1,2017-12-25,False,https://i.scdn.co/image/ab67616d0000b2733c8d158effaa318e202d7d69,mainland chinese pop & mandopop
2024-08-30,12,Always Remember Us This Way,Lady Gaga,82,210200,album,19,2018-10-05,False,https://i.scdn.co/image/ab67616d0000b273b5d4b4ed17ec86c4b3944af2,art pop & dance pop & pop
2024-08-30,13,慢慢喜歡你,Karen Mok,0,221447,album,11,2018-05-31,False,https://i.scdn.co/image/ab67616d0000b2737ddd39ab53fa915684789810,mandopop
2024-08-30,14,Bad Liar,Imagine Dragons,79,260773,album,15,2018-11-09,False,https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd,modern rock & pop & rock
2024-08-30,15,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone & Swae Lee,7,158053,single,1,2018-10-18,False,https://i.scdn.co/image/ab67616d0000b273ef376d3257503f734de0eefc,dfw rap & melodic rap & pop & rap & trap
2024-08-30,16,Ruin My Life,Zara Larsson,60,190931,single,1,2018-10-18,True,https://i.scdn.co/image/ab67616d0000b273ceedff6a709d5a9f6c86a0bc,pop & scandipop & swedish electropop & swedish pop
2024-08-30,17,我還年輕 我還年輕,老王樂隊,6,347058,single,3,2017-09-28,False,https://i.scdn.co/image/ab67616d0000b273afbde701bdafb39fb8413c63,mandopop & taiwan indie & taiwan pop
2024-08-30,18,come out and play,Billie Eilish,67,210375,single,1,2018-11-20,False,https://i.scdn.co/image/ab67616d0000b27348a98a5a97b2cc7963016888,art pop & pop
2024-08-30,19,YES or YES,TWICE,56,237685,album,7,2018-11-05,False,https://i.scdn.co/image/ab67616d0000b2738c3678043fa99294678eebae,k-pop & k-pop girl group & pop
2024-08-30,20,追光者 - 電視劇夏至未至插曲,Yoyo Sham,0,235833,single,1,2017-06-16,False,https://i.scdn.co/image/ab67616d0000b27303065148262b97bc76882b62,cantopop & hong kong indie
2024-08-30,21,連名帶姓,A-Mei Chang,57,333549,album,10,2017-12-11,False,https://i.scdn.co/image/ab67616d0000b2730979f24c3528fc1ca58c8f19,mandopop
2024-08-30,22,在青春迷失的咖啡館,Cyndi Wang,0,218096,single,1,2018-11-21,False,https://i.scdn.co/image/ab67616d0000b27328a358f2d90dadf26df13842,mandopop
2024-08-30,23,Happier,Marshmello & Bastille,14,214289,single,1,2018-08-17,False,https://i.scdn.co/image/ab67616d0000b27304bfd5a5fd5aa6ca648f66aa,brostep & edm & metropopolis & modern rock & pop & progressive electro house
2024-08-30,24,Better,Khalid,68,229320,album,7,2018-10-18,False,https://i.scdn.co/image/ab67616d0000b27360624c0781fd787c9aa4699c,pop & pop r&b
2024-08-30,25,我們 - 《後來的我們》電影主題曲,Eason Chan,52,260878,single,1,2018-04-10,False,https://i.scdn.co/image/ab67616d0000b273390d664efc055b6ef66de7f9,c-pop & cantopop & mandopop
2024-08-30,26,Waste It On Me (feat. BTS),Steve Aoki & BTS,60,192536,album,17,2018-11-09,False,https://i.scdn.co/image/ab67616d0000b2732b83b1f05af0be85caec37e7,edm & electro house & k-pop & k-pop boy group & pop & pop dance
2024-08-30,27,Woman Like Me (feat. Nicki Minaj),Little Mix & Nicki Minaj,64,229720,album,18,2018-11-16,True,https://i.scdn.co/image/ab67616d0000b27315174e2b2347b5ffbea6dbf0,girl group & hip pop & pop & queens hip hop & rap & talent show & uk pop
2024-08-30,28,Let You Love Me,Rita Ora,64,191120,album,16,2018-11-23,False,https://i.scdn.co/image/ab67616d0000b273f1b136eb0388414a8225a348,dance pop & pop & uk pop
2024-08-30,29,Sweet but Psycho,Ava Max,2,187436,single,1,2018-08-17,False,https://i.scdn.co/image/ab67616d0000b273c5015d2a9270865a5979f56b,pop
2024-08-30,30,POP/STARS,K/DA & Madison Beer & (G)I-DLE & Jaira Burns & League of Legends,68,191100,single,1,2018-11-03,False,https://i.scdn.co/image/ab67616d0000b273d1241debb8543af8322a7d6a,alt z & k-pop girl group & pop & speedrun & video game music
2024-08-30,31,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake & Selena Gomez & Ozuna & Cardi B,72,212500,single,1,2018-09-28,True,https://i.scdn.co/image/ab67616d0000b273e105c410a7b390c61a58cbf8,dance pop & edm & electronic trap & pop & pop dance & post-teen pop & puerto rican pop & rap & reggaeton & trap latino & urbano latino
2024-08-30,32,言不由衷,LaLa Hsu,43,261240,album,11,2017-12-27,False,https://i.scdn.co/image/ab67616d0000b273a699eb1e40bb5cc52c1fc634,mandopop & taiwan singer-songwriter
2024-08-30,33,耳朵,Ronghao Li,47,241266,album,10,2018-10-17,False,https://i.scdn.co/image/ab67616d0000b2734ed5351deda71982d6f1ab4d,chinese singer-songwriter & mainland chinese pop & mandopop
2024-08-30,34,Kiss and Make Up,Dua Lipa & BLACKPINK,51,190560,album,25,2015,False,https://i.scdn.co/image/ab67616d0000b2737833c9a792ad032d788d4011,dance pop & k-pop & k-pop girl group & pop & uk pop
2024-08-30,35,Beach House,The Chainsmokers,0,206120,album,9,2018-11-16,False,https://i.scdn.co/image/ab67616d0000b27353d3f4fc35b2872141fb17cc,pop
2024-08-30,36,幾分之幾 - 電影<花甲大人轉男孩>主題曲,Crowd Lu,55,228570,single,3,2018-02-02,False,https://i.scdn.co/image/ab67616d0000b273d861b9b3ba2ad6370d09e30d,mandopop & taiwan indie & taiwan singer-songwriter
2024-08-30,37,RBB (Really Bad Boy),Red Velvet,53,188785,single,6,2018-11-30,False,https://i.scdn.co/image/ab67616d0000b2732270d3bd1d13133edf0be836,k-pop & k-pop girl group
2024-08-30,38,Only Want You,Rita Ora,50,180760,album,16,2018-11-23,False,https://i.scdn.co/image/ab67616d0000b273f1b136eb0388414a8225a348,dance pop & pop & uk pop
2024-08-30,39,等你下課,Jay Chou & Gary Yang,1,270000,single,1,2018-01-18,False,https://i.scdn.co/image/ab67616d0000b2734c5498327e2fcaf753608c43,c-pop & mandopop & taiwan pop & zhongguo feng
2024-08-30,40,Love Someone,Lukas Graham,57,205440,album,10,2018-10-26,False,https://i.scdn.co/image/ab67616d0000b273d266be64b095db17c5b6814a,danish pop & scandipop
2024-08-30,41,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5 & Cardi B,71,235545,album,22,2018-06-15,True,https://i.scdn.co/image/ab67616d0000b273deae7d931928fc1543e70203,pop & rap
2024-08-30,42,I'll Never Love Again - Film Version - Radio Edit,Lady Gaga & Bradley Cooper,54,281235,album,19,2018-10-05,False,https://i.scdn.co/image/ab67616d0000b273b5d4b4ed17ec86c4b3944af2,art pop & dance pop & hollywood & pop
2024-08-30,43,演員,Joker Xue,60,261249,album,10,2016-07-18,False,https://i.scdn.co/image/ab67616d0000b2733d1553946057b2a7c3eeebed,mandopop
2024-08-30,44,Happy Now,Kygo & Sandro Cavazza,65,211362,single,1,2018-10-26,False,https://i.scdn.co/image/ab67616d0000b27382c80d6ec5b001d9ae49564d,edm & pop & pop dance & swedish pop & tropical house
2024-08-30,45,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur & Anne-Marie,78,218293,single,1,2018-10-25,False,https://i.scdn.co/image/ab67616d0000b273fdcd66dc526a25e1555ae81d,pop & talent show & uk pop
2024-08-30,46,Stand Out Fit In,ONE OK ROCK,0,214581,single,1,2018-11-23,False,https://i.scdn.co/image/ab67616d0000b273b3ac6fe252427484e2b1c7f6,j-pop & j-rock
2024-08-30,47,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION & Lil Pump & Swae Lee & Maluma,68,198902,single,1,2018-10-25,True,https://i.scdn.co/image/ab67616d0000b27397edb4fc7ac3510ca4bb021c,emo rap & latin pop & melodic rap & miami hip hop & pop rap & rap & reggaeton & reggaeton colombiano & trap & trap latino & urbano latino
2024-08-30,48,那一夜,G.E.M.,33,234026,single,1,2018-10-18,False,https://i.scdn.co/image/ab67616d0000b27345bbcdae0e5126e05458019a,mandopop
2024-08-30,49,Be Alright,Dean Lewis,74,196373,single,1,2018-06-29,True,https://i.scdn.co/image/ab67616d0000b27313480e8127119dcb882eb53d,australian pop & pop
2024-08-30,50,不愛我就拉倒,Jay Chou,0,245845,single,1,2018-05-15,False,https://i.scdn.co/image/ab67616d0000b273544406109114e76c849dbc1d,c-pop & mandopop & taiwan pop & zhongguo feng
