date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,genre_list
2024-08-30,1,Bauch Beine Po,Shirin David,80,133932,single,1,2024-07-25,False,https://i.scdn.co/image/ab67616d0000b273ae421ab995402176dc5a3dc0,frauenrap & german hip hop & german pop
2024-08-30,2,Lilien,AYLIVA,72,160983,album,15,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b2738bdf6a4309ec137eeb64befc,german pop
2024-08-30,3,Move,Adam Port & Stryv & Keinemusik & Orso & Malachiii,91,177598,single,1,2024-06-07,False,https://i.scdn.co/image/ab67616d0000b27317a013a00d0a33f3dd49974d,melodic house
2024-08-30,4,Wunder,AYLIVA & Apache 207,67,176492,album,15,2024-08-16,True,https://i.scdn.co/image/ab67616d0000b2738bdf6a4309ec137eeb64befc,german hip hop & german pop
2024-08-30,5,Big Dawgs,Hanumankind & Kalmi,92,190666,single,1,2024-07-09,True,https://i.scdn.co/image/ab67616d0000b273d9afe5c70c43cb2bd34605ea,desi hip hop & indian underground rap & malayalam hip hop
2024-08-30,6,Panama,GReeeN,78,157135,album,8,2023-04-27,False,https://i.scdn.co/image/ab67616d0000b273ef496a180518f3ace76dd9ef,german hip hop
2024-08-30,7,Black Friday (pretty like the sun),Lost Frequencies & Tom Odell,86,145599,single,1,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273a0fab1c9bdfc54357ddb89a6,belgian edm & chill pop & edm & pop dance & tropical house
2024-08-30,8,BIRDS OF A FEATHER,Billie Eilish,100,210373,album,10,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,art pop & pop
2024-08-30,9,Out Of The Dark,RAF Camora,75,167847,single,3,2024-08-09,True,https://i.scdn.co/image/ab67616d0000b273cbeedd553be29e9c41223759,german hip hop
2024-08-30,10,Espresso,Sabrina Carpenter,98,175459,single,1,2024-04-12,True,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,pop
2024-08-30,11,eehhhyyy,Zartmann & Drumla & Dauner,75,135082,album,8,2024-06-21,False,https://i.scdn.co/image/ab67616d0000b27344fb82c80377e26b6e1f64b5,[]
2024-08-30,12,Taste,Sabrina Carpenter,88,157279,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,13,VEMPA,FOURTY & Bausa,76,134528,single,1,2024-04-19,True,https://i.scdn.co/image/ab67616d0000b2736423f32068faad29d0b50e22,german hip hop & german r&b & german trap
2024-08-30,14,Starboy,Luciano & Jazeek,76,170898,single,1,2024-07-18,True,https://i.scdn.co/image/ab67616d0000b273abcd7f5243af3b96ee4fa5a3,german drill & german hip hop
2024-08-30,15,Mittelmeer,Pashanim,70,179106,album,14,2024-06-13,False,https://i.scdn.co/image/ab67616d0000b27333ff34130a6eeecb47d24d26,german alternative rap & german drill & german hip hop
2024-08-30,16,Miami,Apache 207,75,184485,single,1,2024-08-01,False,https://i.scdn.co/image/ab67616d0000b273deef9c2aa565aecd7af238e1,german hip hop
2024-08-30,17,Nein!,AYLIVA,66,194217,album,15,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b2738bdf6a4309ec137eeb64befc,german pop
2024-08-30,18,Stumblin' In,CYRIL,89,213363,single,1,2023-11-10,False,https://i.scdn.co/image/ab67616d0000b2739a903819d8a5d3c80c47734c,[]
2024-08-30,19,sekundentakt,Montez & Kontra K,70,160719,single,5,2024-08-15,True,https://i.scdn.co/image/ab67616d0000b273329c9769df052ba37fc1cea7,german hip hop & german pop
2024-08-30,20,Alibi (with Pabllo Vittar & Yseult),Sevdaliza & Pabllo Vittar & Yseult,92,161655,single,1,2024-06-28,False,https://i.scdn.co/image/ab67616d0000b2734ee35e37bc21fe929a4d3605,alternative r&b & dance pop & french pop & funk carioca & funk pop & persian electronic & pop lgbtq+ brasileira & pop nacional & r&b francais
2024-08-30,21,I Adore You (feat. Daecolm),HUGEL & Topic & Arash & Daecolm,82,214000,single,1,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b27305005dc483e9f8a73ccc6d3d,deep house & german dance & persian pop & pop dance & pop edm & uk dance
2024-08-30,22,i like the way you kiss me,Artemas,80,142514,album,14,2024-07-11,False,https://i.scdn.co/image/ab67616d0000b2738fe69d8df304ff053693653e,[]
2024-08-30,23,Stargazing,Myles Smith,92,172533,single,1,2024-05-10,False,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,singer-songwriter pop
2024-08-30,24,Houdini,Eminem,83,227032,album,19,2024-07-12,True,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487,detroit hip hop & hip hop & rap
2024-08-30,25,Belong Together,Mark Ambor,75,148317,album,12,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b273da33127f62acdb0aca585e92,singer-songwriter pop
2024-08-30,26,Gata Only,FloyyMenor & Cris Mj,78,222000,album,7,2024-08-09,True,https://i.scdn.co/image/ab67616d0000b273ea86b8fe5ceb9e50e43a1ff9,mambo chileno & reggaeton chileno & trap latino & urbano chileno & urbano latino
