date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,genre_list
2024-08-30,1,Take 5,Shiva,62,191856,single,1,2024-08-28,False,https://i.scdn.co/image/ab67616d0000b273a56b6d5c75a69112ff062204,italian hip hop & italian pop & trap italiana
2024-08-30,2,30ºC,ANNA,75,142615,album,18,2024-06-27,True,https://i.scdn.co/image/ab67616d0000b273fb7329a6fb6154b1fa3704c7,italian hip hop & italian pop
2024-08-30,3,TT LE GIRLZ (feat. Niky Savage),ANNA & Niky Savage,77,144210,album,18,2024-06-27,True,https://i.scdn.co/image/ab67616d0000b273fb7329a6fb6154b1fa3704c7,italian hip hop & italian pop
2024-08-30,4,SESSO E SAMBA (feat. Gaia),Tony Effe & Gaia,75,167263,album,18,2024-05-22,True,https://i.scdn.co/image/ab67616d0000b273079bf39440a71ce5095b40a1,italian adult pop & italian hip hop & italian pop & trap italiana
2024-08-30,5,Si Antes Te Hubiera Conocido,KAROL G,96,195824,single,1,2024-06-21,False,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,reggaeton & reggaeton colombiano & trap latino & urbano latino
2024-08-30,6,Paprika,Ghali,78,148571,single,1,2024-05-10,False,https://i.scdn.co/image/ab67616d0000b27335542084789157d2c769aada,italian hip hop & italian pop & milan indie
2024-08-30,7,I LOVE IT (feat. Artie 5ive),ANNA & Artie 5ive,77,191999,album,18,2024-06-27,True,https://i.scdn.co/image/ab67616d0000b273fb7329a6fb6154b1fa3704c7,italian hip hop & italian pop
2024-08-30,8,STORIE BREVI,Tananai & Annalisa,77,175153,single,1,2024-06-04,False,https://i.scdn.co/image/ab67616d0000b273b9e2109bbe77afec0e7af667,italian adult pop & italian pop
2024-08-30,9,EPISODIO D'AMORE,Geolier & Takagi & Ketra & Dat Boi Dee,76,196613,album,21,2024-06-07,False,https://i.scdn.co/image/ab67616d0000b2736ca1afc5513fd69a8c0c4dc2,italian adult pop & italian hip hop & italian pop & rap napoletano & trap italiana
2024-08-30,10,COME UN TUONO (feat. Guè),Rose Villain & Guè,77,175293,album,12,2024-03-08,True,https://i.scdn.co/image/ab67616d0000b2737d3c7c72548a5c8bff302714,italian hip hop & italian pop & milan indie
