date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,genre_list
2024-08-30,1,Who,Jimin,94,170887,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop
2024-08-30,2,ライラック,Mrs. GREEN APPLE,79,288200,single,1,2024-04-11,False,https://i.scdn.co/image/ab67616d0000b2732dad118eff6a430b28a457bd,anime rock & j-pop & j-rock
2024-08-30,3,familie,Mrs. GREEN APPLE,72,222714,single,1,2024-08-08,False,https://i.scdn.co/image/ab67616d0000b27324522238327dceeae211816e,anime rock & j-pop & j-rock
2024-08-30,4,青と夏,Mrs. GREEN APPLE,74,270026,album,17,2019-10-01,False,https://i.scdn.co/image/ab67616d0000b27381f55cd879e9480e3ed313df,anime rock & j-pop & j-rock
2024-08-30,5,新しい恋人達に,back number,74,286546,single,1,2024-07-15,False,https://i.scdn.co/image/ab67616d0000b27366681c9936b8e02441bcfb5f,j-pop & j-rock
2024-08-30,6,INZM,Number_i,72,210641,single,1,2024-08-19,False,https://i.scdn.co/image/ab67616d0000b27356e40d8a7945f0a014d79645,[]
2024-08-30,7,ケセラセラ,Mrs. GREEN APPLE,74,272226,album,13,2023-07-04,False,https://i.scdn.co/image/ab67616d0000b273d482c602732da71e7cdf04c3,anime rock & j-pop & j-rock
2024-08-30,8,幾億光年,Omoinotake,75,276918,single,1,2024-01-24,False,https://i.scdn.co/image/ab67616d0000b2738b7a8c1322028d45a8355f7a,city pop & japanese soul
2024-08-30,9,カーテンコール,Yuuri,75,243026,single,1,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b2733ce11870412ceb3b494c17fa,j-pop & japanese singer-songwriter & japanese teen pop
2024-08-30,10,Bling-Bang-Bang-Born,Creepy Nuts,81,168135,single,2,2024-01-07,False,https://i.scdn.co/image/ab67616d0000b2733f6de9c0ca2148edf20daa6b,j-pop
2024-08-30,11,I wonder,Da-iCE,76,157746,single,1,2024-04-17,False,https://i.scdn.co/image/ab67616d0000b273a456392cbf8ca9db7553039e,j-pop & j-pop boy group
2024-08-30,12,がらくた - JUNK,Kenshi Yonezu,63,237600,album,20,2024-08-21,False,https://i.scdn.co/image/ab67616d0000b273a52ffa7b1ee67275e32d04bc,anime & j-pop
2024-08-30,13,ファタール - Fatal,GEMN & 中島健人 & Tatsuya Kitani,77,219200,single,1,2024-07-04,False,https://i.scdn.co/image/ab67616d0000b273e096bebbaeaa92c78d7043b4,japanese electropop
2024-08-30,14,ただ君に晴れ,ヨルシカ,76,198971,album,9,2018-05-09,False,https://i.scdn.co/image/ab67616d0000b27328b535c92629e3c8d20ec242,j-pop
2024-08-30,15,ダンスホール,Mrs. GREEN APPLE,73,203149,single,1,2022-05-23,False,https://i.scdn.co/image/ab67616d0000b273e552c9dbdf76676de1032ae0,anime rock & j-pop & j-rock
2024-08-30,16,RED OUT,Kenshi Yonezu,63,151626,album,20,2024-08-21,False,https://i.scdn.co/image/ab67616d0000b273a52ffa7b1ee67275e32d04bc,anime & j-pop
2024-08-30,17,Soranji,Mrs. GREEN APPLE,71,343253,album,13,2023-07-04,False,https://i.scdn.co/image/ab67616d0000b273d482c602732da71e7cdf04c3,anime rock & j-pop & j-rock
2024-08-30,18,コロンブス,Mrs. GREEN APPLE,75,227178,single,1,2024-06-11,False,https://i.scdn.co/image/ab67616d0000b273a7a57145cbdb74176a6db5e0,anime rock & j-pop & j-rock
2024-08-30,19,怪獣の花唄,Vaundy,73,224804,album,11,2020-05-27,False,https://i.scdn.co/image/ab67616d0000b273292ec8115884b7533905dd1a,j-pop & japanese soul
2024-08-30,20,Magnetic,ILLIT,87,160688,single,4,2024-03-25,False,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c,5th gen k-pop
2024-08-30,21,晩餐歌,tuki.,75,215853,single,1,2023-09-29,False,https://i.scdn.co/image/ab67616d0000b27355e029fef14405c5d536453b,[]
2024-08-30,22,Magic,Mrs. GREEN APPLE,73,263106,album,13,2023-07-04,False,https://i.scdn.co/image/ab67616d0000b273d482c602732da71e7cdf04c3,anime rock & j-pop & j-rock
2024-08-30,23,点描の唄,Mrs. GREEN APPLE & Sonoko Inoue,72,307066,single,3,2018-07-31,False,https://i.scdn.co/image/ab67616d0000b273b68755a98268d7aa297549d5,anime rock & j-pop & j-rock & japanese singer-songwriter
