date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,genre_list
2024-08-30,1,Who,Jimin,94,170887,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop
2024-08-30,2,Be Mine,Jimin,82,207347,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop
2024-08-30,3,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,85,183550,album,11,2023-11-03,True,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,k-pop & trap queen
2024-08-30,4,Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,79,182840,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop & k-rap & korean r&b
2024-08-30,5,Closer Than This,Jimin,77,223301,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop
2024-08-30,6,Slow Dance (feat. Sofia Carson),Jimin & Sofia Carson,78,188399,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop & pop
2024-08-30,7,Rebirth (Intro),Jimin,77,144624,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop
2024-08-30,8,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,78,201812,album,7,2023-10-02,True,https://i.scdn.co/image/ab67616d0000b27399583bb32b47e87d55c6064b,deep underground hip hop & hip hop & k-pop & kentucky hip hop & pop rap & rap
2024-08-30,9,Interlude : Showtime,Jimin,76,78492,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop
2024-08-30,10,Standing Next to You,Jung Kook,90,206019,album,11,2023-11-03,False,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,k-pop
2024-08-30,11,Supernatural,NewJeans,82,191000,single,4,2024-06-21,False,https://i.scdn.co/image/ab67616d0000b2737e1eeb0d7cc374a168369c80,k-pop & k-pop girl group
2024-08-30,12,Supersonic,fromis_9,71,174146,single,3,2024-08-12,False,https://i.scdn.co/image/ab67616d0000b2730490e8ab48790ca6e5add267,k-pop & k-pop girl group
2024-08-30,13,Sticky,KISS OF LIFE,82,157120,single,2,2024-07-01,False,https://i.scdn.co/image/ab67616d0000b2734cd7f69b85766b3d3035c27c,5th gen k-pop & k-pop girl group
2024-08-30,14,Die With A Smile,Lady Gaga & Bruno Mars,94,251667,single,1,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,art pop & dance pop & pop
2024-08-30,15,How Sweet,NewJeans,82,219026,single,4,2024-05-24,False,https://i.scdn.co/image/ab67616d0000b273b657fbb27b17e7bd4691c2b2,k-pop & k-pop girl group
2024-08-30,16,Magnetic,ILLIT,87,160688,single,4,2024-03-25,False,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c,5th gen k-pop
2024-08-30,17,Warmth,Lim Young Woong,65,235053,single,2,2024-05-06,False,https://i.scdn.co/image/ab67616d0000b273744791c0e707946a832baa13,trot
2024-08-30,18,Home,Lim Young Woong,65,235333,single,2,2024-05-06,False,https://i.scdn.co/image/ab67616d0000b273744791c0e707946a832baa13,trot
2024-08-30,19,Supernova,aespa,74,178880,album,10,2024-05-27,False,https://i.scdn.co/image/ab67616d0000b2730fc598038040859794c600e2,k-pop girl group
2024-08-30,20,Armageddon,aespa,78,196466,album,10,2024-05-27,False,https://i.scdn.co/image/ab67616d0000b2730fc598038040859794c600e2,k-pop girl group
2024-08-30,21,Do or Die,Lim Young Woong,62,205440,single,1,2023-10-09,False,https://i.scdn.co/image/ab67616d0000b273831b4a8eb3bd16788dca633a,trot
2024-08-30,22,Grain of Sand,Lim Young Woong,61,220309,single,1,2023-06-05,False,https://i.scdn.co/image/ab67616d0000b273111a6e9b713b646443c5c222,trot
2024-08-30,23,BIRDS OF A FEATHER,Billie Eilish,100,210373,album,10,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,art pop & pop
2024-08-30,24,별별별 (See that?),NMIXX,55,182795,single,6,2024-08-19,False,https://i.scdn.co/image/ab67616d0000b273853ba315cb0ba20b4ae995c6,k-pop & k-pop girl group
2024-08-30,25,London Boy,Lim Young Woong,60,244500,single,2,2022-11-15,False,https://i.scdn.co/image/ab67616d0000b2732d2009b6cad53ddacad11334,trot
2024-08-30,26,New Woman (feat. ROSALÍA),LISA & ROSALÍA,91,179789,single,1,2024-08-15,False,https://i.scdn.co/image/ab67616d0000b2737c451a4f06288da6edf050c1,k-pop & latin viral pop & pop & r&b en espanol
2024-08-30,27,Runaway,Kanye West & Pusha T,81,547733,album,13,2010-11-22,True,https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f,chicago rap & gangster rap & hip hop & pop rap & rap & southern hip hop & trap & virginia hip hop
2024-08-30,28,Pump Up The Volume!,PLAVE,64,179386,single,1,2024-08-20,False,https://i.scdn.co/image/ab67616d0000b2730521b4efcb4432ca54cf2baa,5th gen k-pop
2024-08-30,29,Taste,Sabrina Carpenter,88,157279,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,30,Espresso,Sabrina Carpenter,98,175459,single,1,2024-04-12,True,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,pop
2024-08-30,31,Don't Look Back in Anger - Remastered,Oasis,73,289560,album,40,1995-10-02,False,https://i.scdn.co/image/ab67616d0000b27385e5dcc05cc216a10f141480,beatlesque & britpop & madchester & permanent wave & rock
2024-08-30,32,Bubble Gum,NewJeans,78,200266,single,4,2024-05-24,False,https://i.scdn.co/image/ab67616d0000b273b657fbb27b17e7bd4691c2b2,k-pop & k-pop girl group
2024-08-30,33,Love Me Again,V,87,182293,single,2,2023-08-11,False,https://i.scdn.co/image/ab67616d0000b2732f1a5b69c2bd76474bca8035,j-division & korean ost
2024-08-30,34,Polaroid,Lim Young Woong,57,206400,single,2,2022-11-15,False,https://i.scdn.co/image/ab67616d0000b2732d2009b6cad53ddacad11334,trot
2024-08-30,35,踊り子,Vaundy,71,229328,album,35,2023-11-15,False,https://i.scdn.co/image/ab67616d0000b2738d88fae79a837318aadcc056,j-pop & japanese soul
2024-08-30,36,HAPPY,DAY6,47,189934,single,7,2024-03-18,False,https://i.scdn.co/image/ab67616d0000b2731e20be5a6bdfd2780516320a,k-pop & k-pop boy group
2024-08-30,37,Like Crazy,Jimin,81,212241,single,6,2023-03-24,False,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,k-pop
2024-08-30,38,Boom Boom Bass,RIIZE,68,152889,album,8,2024-06-17,False,https://i.scdn.co/image/ab67616d0000b273eb3f976a4225b949b5f432a2,5th gen k-pop
2024-08-30,39,Never Let Go,Jung Kook,84,166812,single,1,2024-06-07,False,https://i.scdn.co/image/ab67616d0000b273083f5a45d93b57cb65a97b83,k-pop
2024-08-30,40,If We Ever Meet Again,Lim Young Woong,57,274386,album,12,2022-05-02,False,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,trot
2024-08-30,41,Touch,KATSEYE,45,129882,single,1,2024-07-26,False,https://i.scdn.co/image/ab67616d0000b2737e08f4e6d2766b139abb3a67,5th gen k-pop
