date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,genre_list
2024-08-30,1,Taste,Sabrina Carpenter,88,157279,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,2,Please Please Please,Sabrina Carpenter,97,186365,single,2,2024-06-06,True,https://i.scdn.co/image/ab67616d0000b273de84adf0e48248ea2d769c3e,pop
2024-08-30,3,Espresso,Sabrina Carpenter,98,175459,single,1,2024-04-12,True,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,pop
2024-08-30,4,"Good Luck, Babe!",Chappell Roan,97,218423,single,1,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,indie pop & pov: indie
2024-08-30,5,BIRDS OF A FEATHER,Billie Eilish,100,210373,album,10,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,art pop & pop
2024-08-30,6,Live Forever,Oasis,45,276826,album,13,1994,False,https://i.scdn.co/image/ab67616d0000b2737c46409e5671b5b433761623,beatlesque & britpop & madchester & permanent wave & rock
2024-08-30,7,Don't Look Back in Anger,Oasis,52,290253,album,27,2010,False,https://i.scdn.co/image/ab67616d0000b2734dbd79805250b23f6b80b73a,beatlesque & britpop & madchester & permanent wave & rock
2024-08-30,8,Wonderwall,Oasis,48,259840,album,27,2010,False,https://i.scdn.co/image/ab67616d0000b2734dbd79805250b23f6b80b73a,beatlesque & britpop & madchester & permanent wave & rock
2024-08-30,9,BACKBONE,Chase & Status & Stormzy,80,166448,single,1,2024-08-08,True,https://i.scdn.co/image/ab67616d0000b2731c7e93001b846b12ae2c7e3b,dancefloor dnb & drum and bass & grime & uk dance & uk hip hop
2024-08-30,10,Bed Chem,Sabrina Carpenter,84,171869,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,11,Die With A Smile,Lady Gaga & Bruno Mars,94,251667,single,1,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,art pop & dance pop & pop
2024-08-30,12,Supersonic,Oasis,41,283733,album,13,1994,False,https://i.scdn.co/image/ab67616d0000b2737c46409e5671b5b433761623,beatlesque & britpop & madchester & permanent wave & rock
2024-08-30,13,Champagne Supernova,Oasis,44,449506,album,12,1995,False,https://i.scdn.co/image/ab67616d0000b2736264cf7867d8133bf9650368,beatlesque & britpop & madchester & permanent wave & rock
2024-08-30,14,Good Graces,Sabrina Carpenter,85,185265,album,12,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,15,Too Sweet,Hozier,88,251424,album,20,2024-03-22,False,https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241,irish singer-songwriter & modern rock & pop & pov: indie
2024-08-30,16,Kisses (feat. bbyclose),BL3SS & CamrinWatsin & bbyclose,83,138246,single,1,2024-03-22,False,https://i.scdn.co/image/ab67616d0000b2733ba70f49a78d818fc0758667,[]
2024-08-30,17,A Bar Song (Tipsy),Shaboozey,88,171291,album,12,2024-05-31,True,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,modern country pop & pop rap
2024-08-30,18,Guess featuring Billie Eilish,Charli xcx & Billie Eilish,74,143330,single,1,2024-08-01,False,https://i.scdn.co/image/ab67616d0000b2731c5292408a65a19ce9830a72,art pop & candy pop & metropopolis & pop & uk pop
2024-08-30,19,Stargazing,Myles Smith,92,172533,single,1,2024-05-10,False,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a,singer-songwriter pop
2024-08-30,20,Beautiful Things,Benson Boone,91,180304,album,15,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,singer-songwriter pop
2024-08-30,21,Stick Season,Noah Kahan,90,182346,album,14,2022-10-14,False,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918,pov: indie
2024-08-30,22,HOT TO GO!,Chappell Roan,91,184841,album,14,2023-09-22,False,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,indie pop & pov: indie
2024-08-30,23,Austin (Boots Stop Workin'),Dasha,91,171782,album,8,2024-02-16,True,https://i.scdn.co/image/ab67616d0000b2734ccf88b66e04cfd247f287eb,[]
2024-08-30,24,She's Electric,Oasis,40,219533,album,12,1995,False,https://i.scdn.co/image/ab67616d0000b2736264cf7867d8133bf9650368,beatlesque & britpop & madchester & permanent wave & rock
2024-08-30,25,Juno,Sabrina Carpenter,83,223192,album,12,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,26,Lose Control,Teddy Swims,91,210688,album,10,2023-09-15,False,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,[]
2024-08-30,27,I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,82,178205,album,18,2024-08-15,True,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0,contemporary country & dfw rap & melodic rap & pop & rap
2024-08-30,28,Stop Crying Your Heart Out,Oasis,42,303133,album,12,2002-06-26,False,https://i.scdn.co/image/ab67616d0000b27328294fd45c7cbb278fd4418d,beatlesque & britpop & madchester & permanent wave & rock
2024-08-30,29,Half the World Away - Remastered,Oasis,37,267333,album,44,2014-05-14,False,https://i.scdn.co/image/ab67616d0000b273f6e71eb3e45eafeca603541a,beatlesque & britpop & madchester & permanent wave & rock
2024-08-30,30,Apple,Charli xcx,90,151739,album,15,2024-06-07,False,https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e,art pop & candy pop & metropopolis & pop & uk pop
2024-08-30,31,Coincidence,Sabrina Carpenter,83,164202,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,32,Sharpest Tool,Sabrina Carpenter,83,218284,album,12,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
