date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,genre_list
2024-08-30,1,Taste,Sabrina Carpenter,88,157279,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,2,Please Please Please,Sabrina Carpenter,97,186365,single,2,2024-06-06,True,https://i.scdn.co/image/ab67616d0000b273de84adf0e48248ea2d769c3e,pop
2024-08-30,3,Die With A Smile,Lady Gaga & Bruno Mars,94,251667,single,1,2024-08-16,False,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,art pop & dance pop & pop
2024-08-30,4,Espresso,Sabrina Carpenter,98,175459,single,1,2024-04-12,True,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,pop
2024-08-30,5,"Good Luck, Babe!",Chappell Roan,97,218423,single,1,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,indie pop & pov: indie
2024-08-30,6,Who,Jimin,94,170887,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop
2024-08-30,7,Bed Chem,Sabrina Carpenter,84,171869,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,8,BIRDS OF A FEATHER,Billie Eilish,100,210373,album,10,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,art pop & pop
2024-08-30,9,Good Graces,Sabrina Carpenter,85,185265,album,12,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,10,I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,82,178205,album,18,2024-08-15,True,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0,contemporary country & dfw rap & melodic rap & pop & rap
2024-08-30,11,A Bar Song (Tipsy),Shaboozey,88,171291,album,12,2024-05-31,True,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,modern country pop & pop rap
2024-08-30,12,Juno,Sabrina Carpenter,83,223192,album,12,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,13,HOT TO GO!,Chappell Roan,91,184841,album,14,2023-09-22,False,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,indie pop & pov: indie
2024-08-30,14,Not Like Us,Kendrick Lamar,95,274192,single,1,2024-05-04,True,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad,conscious hip hop & hip hop & rap & west coast rap
2024-08-30,15,Sharpest Tool,Sabrina Carpenter,83,218284,album,12,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,16,Coincidence,Sabrina Carpenter,83,164202,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,17,Slim Pickins,Sabrina Carpenter,82,152195,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,18,MILLION DOLLAR BABY,Tommy Richman,94,155151,single,2,2024-04-26,False,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f,chill abstract hip hop
2024-08-30,19,Pink Pony Club,Chappell Roan,88,258034,album,14,2023-09-22,False,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,indie pop & pov: indie
2024-08-30,20,Big Dawgs,Hanumankind & Kalmi,92,190666,single,1,2024-07-09,True,https://i.scdn.co/image/ab67616d0000b273d9afe5c70c43cb2bd34605ea,desi hip hop & indian underground rap & malayalam hip hop
2024-08-30,21,I Remember Everything (feat. Kacey Musgraves),Zach Bryan & Kacey Musgraves,89,227195,album,16,2023-08-25,False,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef,classic oklahoma country & classic texas country & contemporary country & country dawn
2024-08-30,22,Too Sweet,Hozier,83,251424,album,20,2024-03-22,False,https://i.scdn.co/image/ab67616d0000b2732e8b4358d044b75807e30bf0,irish singer-songwriter & modern rock & pop & pov: indie
2024-08-30,23,Pink Skies,Zach Bryan,88,194920,single,1,2024-05-24,False,https://i.scdn.co/image/ab67616d0000b2731a2c9ac2d39bc5c2e22b9555,classic oklahoma country
2024-08-30,24,Beautiful Things,Benson Boone,91,180304,album,15,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,singer-songwriter pop
2024-08-30,25,Lose Control,Teddy Swims,91,210688,album,10,2023-09-15,False,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,[]
2024-08-30,26,Red Wine Supernova,Chappell Roan,89,192720,album,14,2023-09-22,True,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,indie pop & pov: indie
2024-08-30,27,Don’t Smile,Sabrina Carpenter,81,206295,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,28,Dumb & Poetic,Sabrina Carpenter,81,133478,album,12,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,29,Stick Season,Noah Kahan,90,182346,album,14,2022-10-14,False,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918,pov: indie
2024-08-30,30,NIGHTS LIKE THIS,The Kid LAROI,89,86983,album,20,2023-11-10,False,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2,australian hip hop
2024-08-30,31,Something in the Orange,Zach Bryan,87,228013,single,4,2022-04-22,False,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,classic oklahoma country
2024-08-30,32,Guess featuring Billie Eilish,Charli xcx & Billie Eilish,92,143330,single,1,2024-08-01,False,https://i.scdn.co/image/ab67616d0000b2738b8d8be49f9c4a44b0574144,art pop & candy pop & metropopolis & pop & uk pop
